site_id	Site	Sample Type	Sample Point	Ag	alk_bicarb	alk_carb	alk_total	As	B	Ba	Be	Br	Ca	Cd	Cl	Co	Cr	Cu	DO	EC	F	Fe	K	Li	Mg	Mn	Mo	Na	Ni	ORP	P	Pb	ph_field	ph_lab	Sb	Se	SO4	Sr	TDS	TEMP	Tl	TURB	U	V	Zn
S91	17481	GW-Upgradient	PH-MW-02		450		450	0.0013	1.59	0.0619	-0.001		31.7	-0.0002	325	-0.001	-0.001	-0.002	0.35	1977	0.53	0.963	12.2	0.0949		0.132	0.002	380	-0.001	-155.8		-0.001	7.7		-0.001	-0.002	34	1.39	1030	11.6	-0.0002	0.57		-0.001	-0.004
S88	17481	GW-Upgradient	SLF-MW-6		121		121	-0.005	1.72	0.309	-0.01		1840	-0.0005	25500	-0.0075	-0.0075	-0.01	0.25	61141	1.2	10.9	139	1.98	413	2.03	-0.005	12600	-0.005	-125.1		-0.02	7.19		-0.01	0.0136	380	118	46800	10	-0.002	1.5		-0.0075	-0.02
S89	17481	GW-Upgradient	SLF-MW-7		230		230	-0.005	5.21	3.75	-0.01		527	-0.0005		-0.0075	-0.0075	-0.01	0.5	37731	0.51	3.8	87.9	1.71	234	0.33	-0.005	8660	-0.005	-91.5		-0.01	7.02		-0.01	0.0123	67.7	54.8	26000	11.7	-0.001	0.81		-0.0075	-0.02
S45	22348	CCP Porewater	C1P	-0.0002	148	-10	148	-0.001	4.67	0.06	-0.001		193	-0.0005	19.3	-0.006	0.017	0.002	7.27	1460	-1	0.042	32.6	-0.01	12.6	0.008	1.17	80.6	0.004	106.6		-0.001	7.3	7.3	0.002	0.146	599	4.55	1080	12.4	-0.002	-1		0.108	-0.01
S47	22348	CCP Porewater	C2P	-0.0002	240	249	489	0.019	5.37	0.041	-0.001		81.3	-0.001	60.6	-0.006	0.007	0.002	6.3	1770	-1	0.052	50	-0.01	-1	0.016	6.35	184	0.002	67.3		-0.001	11	11	0.001	0.079	597	3.67	1240	9.7	-0.002	-1		0.062	-0.01
S49	22348	CCP Porewater	C3P	-0.0002	-10	413	845	0.168	6.23	-0.005	-0.001		3.71	-0.0015	121	-0.006	0.003	0.009	5.92	4640	-1	0.081	60.7	0.031	-1	-0.005	8.13	638	0.01	62.2		-0.001	11.9	11.9	0.004	0.471	869	0.078	2280	11.3	-0.002	2.58		0.363	-0.01
S51	22348	CCP Porewater	C4P	-0.0002	188	-10	188	0.002	2.34	0.08	-0.001		259	-0.0002	29.4	-0.006	0.005	0.002	8.74	2970	-1	0.036	28.1	0.023	28.6	-0.005	1.35	257	0.005	139.8		-0.001	7.8	7.8	-0.001	0.049	1540	4.1	2510	15.3	-0.002	2.65		0.028	-0.01
S53	22348	CCP Porewater	C5P	-0.0002	63.1	-10	63.1	0.001	0.818	0.156	-0.001		212	-0.0002	16.8	-0.006	0.088	0.004	9.82	2980	-1	0.042	42.1	-0.01	6.12	-0.005	0.551	310	0.004	138.4		-0.001	8.5	8.5	-0.001	0.026	1550	3.63	2310	11.3	-0.002	-1		0.021	-0.01
S55	22348	CCP Porewater	C6P	-0.0002	95.4	-10	95.4	-0.001	1.94	0.028	-0.001		43.1	-0.0002	2.47	-0.006	0.046	0.002	11.6	552	-1	0.03	0.516	-0.01	9.18	-0.005	0.262	29.2	-0.002	149.1		-0.001	8.1	8.1	-0.001	0.008	164	0.262	346	6.2	-0.002	-1		-0.002	-0.01
S59	22348	GW-Upgradient	MW-15026	-0.0002	-10	-10	-10	-0.001	-0.02	0.007	-0.001		3.37	-0.0002	1.91	-0.006	-0.001	-0.001	7.13	37.8	-1	-0.02	0.344	-0.01	-1	-0.005	-0.005	1.39	-0.002	202.8		-0.001	5.9	5.9	-0.001	-0.001	6.53	0.035	27	10	-0.002	3.52		-0.002	-0.01
