genera	S1	S10	S101	S102	S103	S104	S105	S106	S107	S108	S109	S11	S14	S15	S16	S1601	S1602	S17	S18	S19	S20	S21	S22	S23	S24	S26	S27	S29	S3	S30	S31	S32	S33	S34	S36	S38	S39	S4	S40	S41	S42	S43	S45	S47	S49	S5	S51	S53	S55	S59	S6	S60	S62	S64	S65	S66	S67	S68	S73	S74	S75	S76	S77	S8	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S95	S98
g__JAUJOZ01	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JACCXM01	0	5	0	679	7	0	96	0	0	786	0	8	0	19	190	4	0	146	158	0	57	13	0	38	18	141	0	0	0	0	7	0	0	0	0	7	0	49	21	107	0	0	7	2	0	0	0	0	0	0	83	18	41	0	250	188	7	0	0	0	12	0	0	164	241	0	0	0	23	11	14	0	89	0	19	8	19	0	0	2206
g__Desulfobacca	0	0	0	3	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JACRHF01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
g__SURF-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OLB17	0	0	0	344	0	0	17	1006	0	0	208	0	0	13	183	19	0	244	17	30	0	9	0	0	85	385	548	0	0	7	0	0	0	6	0	757	0	0	279	74	0	0	10	0	66	0	0	0	0	7	0	212	303	290	115	14	0	0	0	0	273	413	0	0	0	0	0	3	0	0	15	5	291	0	26	0	503	291	0	253
g__Flexifilum	0	0	0	0	0	0	51	21	0	0	0	0	0	0	4	0	0	0	10	2	0	7	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	3	0	0	0	0	0	0	2	0	589	0	0	0	0	0	0	0	0	0	0	0
g__UM-FILTER-47-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JACPXZ01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__RFNO01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__JACKAF01	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
g__JACRMA01	0	0	0	0	0	0	9	0	0	19	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	288	0	139
g__PGZG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21	239	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0
g__ELB16-189	0	0	0	345	13	0	679	291	0	0	23	4	0	5	241	0	0	0	209	54	0	0	0	0	9	17	0	0	0	26	0	0	0	357	0	0	0	0	8	102	0	19	0	0	0	27	0	5	0	76	198	0	457	0	798	2	29	0	167	0	161	0	0	0	0	14	0	2	0	0	0	0	0	16	77	0	355	24	0	181
g__Arcicella	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	2	0	0	0	17	0	99	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
g__WTXA01	0	0	0	12	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	382	0	0	0	0	0	0	2	0	0
g__Cellvibrio	0	10	0	0	328	0	123	30	0	0	62	0	0	0	889	420	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	225	0	0	0	131	0	17	11	714	6	76	0	0	0	0	1088	0	171	10	211	0	0	19	1357	0	0	0	0	860	0	0	7	1009	0	0	0	0	179	0	70	0	0	0
g__B1	0	0	0	0	45	0	0	0	0	0	0	0	0	0	293	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	184	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	24	0	0	0
g__CALRGT01	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0
g__JAJZWH01	0	0	0	97	8	0	0	7	3	0	0	0	0	13	7	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7	0	57	0	0	0	0	21	0	51	3	17	0	0	0	344	0	0	0	0	0	0	0	0	21	0	0	0	0	12	0	12	0	16	0
g__UBA8346	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0	0	4	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
g__DTHP01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__SCTM01	0	0	0	0	0	0	0	0	0	10	34	0	0	0	140	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	118	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0
